,story_index,story,question,answer,short_answer,belief,question_type,qa_prompt,comp_prompt,mc_prompt,fb_prompt,tf_prompt,tfr_prompt
30,6,Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.,Where is the potato?,The potato is in the rack.,rack.,FALSE,reality,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.
Question:
Where is the potato currently?","Complete the following paragraph:

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Currently the potato is in","Choose the correct answer from A or B for the following question:
Question:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Where is the potato currently?

A. rack
B. basket

Answer:","Fill in the blank (< >):

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Currently the potato is in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Where is the potato currently?
Statements:
A. Currently the potato is in the rack.
B. Currently the potato is in the basket.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Where is the potato currently?
Statements:
A. Currently the potato is in the rack.
B. Currently the potato is in the basket.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
31,6,Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.,Where was the potato?,The potato was in the basket.,basket.,FALSE,memory,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.
Question:
Where was the potato previously?","Complete the following paragraph:

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Previously the potato was in","Choose the correct answer from A or B for the following question:
Question:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Where was the potato previously

A. rack
B. basket

Answer:","Fill in the blank (< >):

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Previously the potato was in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Where was the potato previously?
Statements:
A. Previously the potato was in the rack.
B. Previously the potato was in the basket.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. Where was the potato previously?
Statements:
A. Previously the potato was in the rack.
B. Previously the potato was in the basket.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
32,6,Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.,"After Kathryne came back to the basement, where would Kathryne look for the potato?",Kathryne would look for the potato in the basket.,basket.,FALSE,1stB,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.
Question:
After Kathryne came back to the basement, where would Kathryne look for the potato?","Complete the following paragraph:

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, Kathryne would look for the potato in","Choose the correct answer from A or B for the following question:
Question:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Kathryne look for the potato?

A. rack
B. basket

Answer:","Fill in the blank (< >):

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, Kathryne would look for the potato in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Kathryne look for the potato?
Statements:
A. Kathryne would look for the potato in the rack.
B. Kathryne would look for the potato in the basket.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Kathryne look for the potato?
Statements:
A. Kathryne would look for the potato in the rack.
B. Kathryne would look for the potato in the basket.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
33,6,Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.,"After Kathryne came back to the basement, where would Hillary look for the potato?",Hillary would look for the potato in the rack.,rack.,FALSE,1stA,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.
Question:
After Kathryne came back to the basement, where would Hillary look for the potato?","Complete the following paragraph:

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, Hillary would look for the potato in","Choose the correct answer from A or B for the following question:
Question:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Hillary look for the potato?

A. rack
B. basket

Answer:","Fill in the blank (< >):

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, Hillary would look for the potato in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Hillary look for the potato?
Statements:
A. Hillary would look for the potato in the rack.
B. Hillary would look for the potato in the basket.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Hillary look for the potato?
Statements:
A. Hillary would look for the potato in the rack.
B. Hillary would look for the potato in the basket.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
34,6,Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.,"After Kathryne came back to the basement, where would Hillary think Kathryne would look for the potato?",Hillary would think Kathryne would look for the potato in the basket.,basket.,FALSE,2ndA,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.
Question:
After Kathryne came back to the basement, where would Hillary think Kathryne would look for the potato?","Complete the following paragraph:

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, Hillary would think Kathryne would look for the potato in","Choose the correct answer from A or B for the following question:
Question:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Hillary think Kathryne would look for the potato?

A. rack
B. basket

Answer:","Fill in the blank (< >):

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, Hillary would think Kathryne would look for the potato in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Hillary think Kathryne would look for the potato?
Statements:
A. Hillary would think Kathryne would look for the potato in the rack.
B. Hillary would think Kathryne would look for the potato in the basket.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Hillary think Kathryne would look for the potato?
Statements:
A. Hillary would think Kathryne would look for the potato in the rack.
B. Hillary would think Kathryne would look for the potato in the basket.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
35,6,Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.,"After Kathryne came back to the basement, where would Kathryne think Hillary would look for the potato?",Kathryne would think Hillary would look for the potato in the basket.,basket.,FALSE,2ndB,"Answer the question based on context:

Context:Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack.
Question:
After Kathryne came back to the basement, where would Kathryne think Hillary would look for the potato?","Complete the following paragraph:

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, Kathryne would think Hillary would look for the potato in","Choose the correct answer from A or B for the following question:
Question:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Kathryne think Hillary would look for the potato?

A. rack
B. basket

Answer:","Fill in the blank (< >):

Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, Kathryne would think Hillary would look for the potato in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Kathryne think Hillary would look for the potato?
Statements:
A. Kathryne would think Hillary would look for the potato in the rack.
B. Kathryne would think Hillary would look for the potato in the basket.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Hillary and Kathryne were hanging out in the basement. They saw a basket and a rack. They found a potato in the basket. Kathryne left the basement. Hillary moved the potato to the rack. After Kathryne came back to the basement, where would Kathryne think Hillary would look for the potato?
Statements:
A. Kathryne would think Hillary would look for the potato in the rack.
B. Kathryne would think Hillary would look for the potato in the basket.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
36,7,Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.,Where is the plum?,The plum is in the bag.,bag.,FALSE,reality,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.
Question:
Where is the plum currently?","Complete the following paragraph:

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Currently the plum is in","Choose the correct answer from A or B for the following question:
Question:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Where is the plum currently?

A. bag
B. hamper

Answer:","Fill in the blank (< >):

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Currently the plum is in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Where is the plum currently?
Statements:
A. Currently the plum is in the bag.
B. Currently the plum is in the hamper.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Where is the plum currently?
Statements:
A. Currently the plum is in the bag.
B. Currently the plum is in the hamper.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
37,7,Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.,Where was the plum?,The plum was in the hamper.,hamper.,FALSE,memory,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.
Question:
Where was the plum previously?","Complete the following paragraph:

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Previously the plum was in","Choose the correct answer from A or B for the following question:
Question:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Where was the plum previously

A. bag
B. hamper

Answer:","Fill in the blank (< >):

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Previously the plum was in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Where was the plum previously?
Statements:
A. Previously the plum was in the bag.
B. Previously the plum was in the hamper.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. Where was the plum previously?
Statements:
A. Previously the plum was in the bag.
B. Previously the plum was in the hamper.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
38,7,Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.,"After Jobina came back to the loft, where would Jobina look for the plum?",Jobina would look for the plum in the hamper.,hamper.,FALSE,1stB,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.
Question:
After Jobina came back to the loft, where would Jobina look for the plum?","Complete the following paragraph:

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, Jobina would look for the plum in","Choose the correct answer from A or B for the following question:
Question:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Jobina look for the plum?

A. bag
B. hamper

Answer:","Fill in the blank (< >):

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, Jobina would look for the plum in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Jobina look for the plum?
Statements:
A. Jobina would look for the plum in the bag.
B. Jobina would look for the plum in the hamper.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Jobina look for the plum?
Statements:
A. Jobina would look for the plum in the bag.
B. Jobina would look for the plum in the hamper.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
39,7,Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.,"After Jobina came back to the loft, where would Norina look for the plum?",Norina would look for the plum in the bag.,bag.,FALSE,1stA,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.
Question:
After Jobina came back to the loft, where would Norina look for the plum?","Complete the following paragraph:

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, Norina would look for the plum in","Choose the correct answer from A or B for the following question:
Question:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Norina look for the plum?

A. bag
B. hamper

Answer:","Fill in the blank (< >):

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, Norina would look for the plum in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Norina look for the plum?
Statements:
A. Norina would look for the plum in the bag.
B. Norina would look for the plum in the hamper.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Norina look for the plum?
Statements:
A. Norina would look for the plum in the bag.
B. Norina would look for the plum in the hamper.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
40,7,Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.,"After Jobina came back to the loft, where would Norina think Jobina would look for the plum?",Norina would think Jobina would look for the plum in the hamper.,hamper.,FALSE,2ndA,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.
Question:
After Jobina came back to the loft, where would Norina think Jobina would look for the plum?","Complete the following paragraph:

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, Norina would think Jobina would look for the plum in","Choose the correct answer from A or B for the following question:
Question:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Norina think Jobina would look for the plum?

A. bag
B. hamper

Answer:","Fill in the blank (< >):

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, Norina would think Jobina would look for the plum in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Norina think Jobina would look for the plum?
Statements:
A. Norina would think Jobina would look for the plum in the bag.
B. Norina would think Jobina would look for the plum in the hamper.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Norina think Jobina would look for the plum?
Statements:
A. Norina would think Jobina would look for the plum in the bag.
B. Norina would think Jobina would look for the plum in the hamper.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
41,7,Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.,"After Jobina came back to the loft, where would Jobina think Norina would look for the plum?",Jobina would think Norina would look for the plum in the hamper.,hamper.,FALSE,2ndB,"Answer the question based on context:

Context:Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag.
Question:
After Jobina came back to the loft, where would Jobina think Norina would look for the plum?","Complete the following paragraph:

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, Jobina would think Norina would look for the plum in","Choose the correct answer from A or B for the following question:
Question:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Jobina think Norina would look for the plum?

A. bag
B. hamper

Answer:","Fill in the blank (< >):

Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, Jobina would think Norina would look for the plum in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Jobina think Norina would look for the plum?
Statements:
A. Jobina would think Norina would look for the plum in the bag.
B. Jobina would think Norina would look for the plum in the hamper.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Norina and Jobina were hanging out in the loft. They saw a hamper and a bag. They found a plum in the hamper. Jobina left the loft. Norina moved the plum to the bag. After Jobina came back to the loft, where would Jobina think Norina would look for the plum?
Statements:
A. Jobina would think Norina would look for the plum in the bag.
B. Jobina would think Norina would look for the plum in the hamper.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
42,8,Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet.,Where is the towel?,The towel is in the cabinet.,cabinet.,FALSE,reality,"Answer the question based on context:

Context:Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet.
Question:
Where is the towel currently?","Complete the following paragraph:

Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Currently the towel is in","Choose the correct answer from A or B for the following question:
Question:
Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Where is the towel currently?

A. cabinet
B. refrigerator

Answer:","Fill in the blank (< >):

Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Currently the towel is in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Where is the towel currently?
Statements:
A. Currently the towel is in the cabinet.
B. Currently the towel is in the refrigerator.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Where is the towel currently?
Statements:
A. Currently the towel is in the cabinet.
B. Currently the towel is in the refrigerator.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
43,8,Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet.,Where was the towel?,The towel was in the refrigerator.,refrigerator.,FALSE,memory,"Answer the question based on context:

Context:Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet.
Question:
Where was the towel previously?","Complete the following paragraph:

Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Previously the towel was in","Choose the correct answer from A or B for the following question:
Question:
Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Where was the towel previously

A. cabinet
B. refrigerator

Answer:","Fill in the blank (< >):

Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Previously the towel was in the < >.

Answer:","Given the context, judge True or False of the given statements A and B respectively:
Use the format for your answer:
A
B

Context:
Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Where was the towel previously?
Statements:
A. Previously the towel was in the cabinet.
B. Previously the towel was in the refrigerator.","Given the context, reason through statements A and B step by step and provide a True or False judgment based on the reasoning:
Context:
Karalynn and Clio were hanging out in the kitchen. They saw a refrigerator and a cabinet. They found a towel in the refrigerator. Clio left the kitchen. Karalynn moved the towel to the cabinet. Where was the towel previously?
Statements:
A. Previously the towel was in the cabinet.
B. Previously the towel was in the refrigerator.
In the answer, output the reasoning with True or False judgment. Use this format for the answer:
A.
B.
"
